Timestamp,TemperatureC,TemperatureF
2025-07-30 14:42:26,26.2500,79.1375
2025-07-30 14:52:26,33.9375,94.2125
2025-07-30 15:02:26,35.5000,96.5750
2025-07-30 15:12:26,34.4375,94.5500
2025-07-30 15:22:26,33.5000,92.8625
2025-07-30 15:32:26,34.8750,95.5625
2025-07-30 15:42:26,35.7500,96.6875
2025-07-30 15:52:26,36.6250,98.3750
2025-07-30 16:02:26,36.1875,97.9250
2025-07-30 16:12:26,35.8750,96.6875
2025-07-30 16:22:26,35.8750,97.2500
2025-07-30 16:32:26,36.2500,97.8125
2025-07-30 16:42:26,35.8125,96.9125
2025-07-30 16:52:26,37.0625,98.8250
2025-07-30 17:02:26,36.6875,98.4875
2025-07-30 17:12:26,36.6250,98.3750
2025-07-30 17:22:26,35.3750,96.2375
2025-07-30 17:32:26,36.4375,98.2625
2025-07-30 17:42:26,37.0625,99.0500
2025-07-30 17:52:26,36.5625,98.6000
2025-07-30 18:02:26,36.0625,97.4750
2025-07-30 18:12:26,36.5625,98.3750
2025-07-30 18:22:26,35.3750,96.0125
2025-07-30 18:32:26,29.6875,86.1125
2025-07-30 18:42:26,29.6875,85.6625
2025-07-30 18:52:26,33.9375,93.7625
2025-07-30 19:02:26,36.6875,98.2625
2025-07-30 19:12:26,36.7500,98.6000
2025-07-30 19:22:26,36.8750,98.9375
2025-07-30 19:32:26,36.1875,97.5875
2025-07-30 19:42:26,35.5625,97.1375
2025-07-30 19:52:26,36.0000,97.5875
2025-07-30 20:02:26,36.6875,98.2625
2025-07-30 20:12:26,36.4375,98.1500
2025-07-30 20:22:26,36.7500,98.4875
2025-07-30 20:32:26,36.0000,97.5875
2025-07-30 20:42:26,35.0000,95.4500
2025-07-30 20:52:26,36.3750,98.2625
2025-07-30 21:02:26,36.1875,97.4750
2025-07-30 21:12:26,35.8750,97.2500
2025-07-30 21:22:26,35.9375,97.4750
2025-07-30 21:32:26,36.3750,98.1500
2025-07-30 21:42:26,37.3125,99.3875
2025-07-30 21:52:26,37.0000,98.9375
2025-07-30 22:02:26,37.2500,99.3875
2025-07-30 22:12:26,37.3750,100.0625
2025-07-30 22:22:26,37.3125,99.8375
2025-07-30 22:32:26,36.6250,98.1500
2025-07-30 22:42:26,37.1875,99.5000
2025-07-30 22:52:26,37.1875,99.3875
2025-07-30 23:02:26,37.3125,99.7250
2025-07-30 23:12:26,37.3125,99.9500
2025-07-30 23:22:26,36.7500,98.6000
2025-07-30 23:32:26,37.1875,99.3875
2025-07-30 23:42:26,37.0000,99.1625
2025-07-30 23:52:26,36.5625,98.3750
2025-08-01 00:02:26,36.8750,98.9375
2025-08-01 00:12:26,37.1250,99.3875
2025-08-01 00:22:26,36.9375,98.9375
2025-08-01 00:32:26,37.1875,99.6125
2025-08-01 00:42:26,37.1875,99.5000
2025-08-01 00:52:26,36.8750,98.8250
2025-08-01 01:02:26,36.6250,98.4875
2025-08-01 01:12:26,37.0000,98.9375
2025-08-01 01:22:26,36.8125,98.8250
2025-08-01 01:32:26,36.9375,98.8250
2025-08-01 01:42:26,37.0000,98.7125
2025-08-01 01:52:26,36.8750,98.7125
2025-08-01 02:02:26,37.4375,99.6125
2025-08-01 02:12:26,37.0000,98.9375
2025-08-01 02:22:26,36.4375,97.7000
2025-08-01 02:32:26,36.2500,97.8125
2025-08-01 02:42:26,37.0000,98.8250
2025-08-01 02:52:26,36.6875,99.2750
2025-08-01 03:02:26,36.8125,98.9375
2025-08-01 03:12:26,36.6875,98.4875
2025-08-01 03:22:26,36.5625,97.9250
2025-08-01 03:32:26,36.0625,97.1375
2025-08-01 03:42:26,35.3125,96.0125
2025-08-01 03:52:26,36.3750,97.5875
2025-08-01 04:02:26,36.8750,98.8250
2025-08-01 04:12:26,36.2500,97.5875
2025-08-01 04:22:26,36.8125,98.3750
2025-08-01 04:32:26,37.1250,99.2750
2025-08-01 04:42:26,37.1250,99.0500
2025-08-01 04:52:26,35.8750,97.1375
2025-08-01 05:02:26,35.9375,97.2500
2025-08-01 05:12:26,36.8125,98.9375
2025-08-01 05:22:26,36.4375,97.8125
